,HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
22,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,85132
23,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,245132
24,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,256637
25,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,207964
26,terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,371681
27,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,442477
28,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,435398
29,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920
30,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,280530
31,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,207964
32,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,371681
33,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,163716
34,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,263716
35,terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,286725
36,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,138938
38,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,302654
40,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,215176
41,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,75221
42,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,476106
43,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,241592
45,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,123008
46,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,115929
47,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,269026
48,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,348672
49,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,295575
50,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,61946
51,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,309292
52,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,442477
53,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,77876
54,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,345132
57,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,323893
58,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,198230
59,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,372566
60,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,164601
61,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,109734
62,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,247787
63,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,158407
64,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,126548
65,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,172566
66,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,146017
67,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,203539
68,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,161946
69,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,183628
70,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,195575
71,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,309292
72,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,331858
73,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,241592
74,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,138053
75,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,218584
76,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,380530
77,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,277876
78,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,63274
79,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,258079
80,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,231415
81,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,141150
82,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,250176
84,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,242035
85,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,432743
86,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,274336
87,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,74256
88,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,195575
89,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,84955
90,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,147761
91,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,143389
92,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,130973
93,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,79646
94,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,151327
95,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,295460
96,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,206,72920
97,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,495575
98,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,89380
99,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,353982
100,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,277876
101,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,285840
102,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,280530
103,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,228318
104,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,469026
105,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,324778
106,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,243362
107,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,75221
108,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,343362
109,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,159292
110,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,265486
111,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,318584
112,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,371681
113,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,380530
114,terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,1252,460176
115,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,451,53097
116,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,376106
117,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,147141
118,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,66371
119,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,256637
120,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,203539
121,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,181415
123,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,334513
124,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,186725
125,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,153097
126,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,72566
128,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,168761
129,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,402654
130,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,278761
131,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,252212
132,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,370796
134,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,424778
135,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,383185
136,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,251327
137,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,47787
138,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,77876
139,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,262831
140,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,291150
141,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,143362
142,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,199115
143,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,159292
144,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,192035
145,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,44247
146,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,229106
147,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,205309
148,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,74336
150,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,349557
151,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,241592
152,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,238938
153,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,374336
154,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,265486
155,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,163716
157,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,193769
158,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,265486
159,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,362831
160,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,186725
161,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,243362
162,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,98477
163,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,34513
164,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,281,104424
166,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,362831
167,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,442477
168,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,1327,169911
169,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,337168
170,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1092,415929
171,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,169026
172,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,228761
173,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,907,337168
174,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,132743
175,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,448672
176,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,53097
177,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,199115
178,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,462831
179,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,181061
180,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,255442
181,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,178761
182,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,170796
183,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,183185
186,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,207079
187,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,274336
188,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,422123
189,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,271681
190,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,78761
191,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,57964
192,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,298230
193,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,162831
194,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,119469
195,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,181415
196,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,183628
197,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,141592
198,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,300884
200,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,132743
202,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,101769
203,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,198256
204,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,566371
205,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,307079
206,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,254867
207,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,348283
208,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,157522
210,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,291150
211,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1088,470796
212,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,222123
213,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,185840
214,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,252814
215,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,317699
216,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,38938
217,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,227433
218,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,230088
219,terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,283185
220,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,252814
221,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,274336
222,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,107964
223,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,240707
224,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,168141
225,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,194690
226,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,271681
227,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,281415
228,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,66371
229,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,167964
230,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,261061
231,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,271681
232,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,118584
233,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,115486
234,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,566371
235,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,194690
236,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,250442
237,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,174336
238,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,307964
239,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,293805
240,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,228318
241,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,82300
242,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,355752
243,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,348672
244,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,105752
245,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,261061
246,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,252212
247,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,292035
249,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,331858
250,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,215486
251,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,225663
252,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,61946
253,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,194690
254,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73840
255,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,324778
256,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,90707
257,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,196460
258,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,212389
260,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,110619
262,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,325663
263,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,169026
265,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,188495
266,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,183185
268,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,349557
269,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,176991
270,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75088
271,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,168141
272,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,283185
273,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,345132
275,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,105309
276,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,78318
277,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,115044
278,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,294690
279,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,318584
280,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,197345
281,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,315929
282,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,234513
283,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,188495
284,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,150778
285,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,176991
287,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1291,463716
288,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,300884
292,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,210619
293,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,914,178761
294,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,162831
297,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,146017
298,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,318584
299,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,243362
300,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,121238
301,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75504
302,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,81415
303,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,199115
304,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,274336
305,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,274336
306,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,88495
307,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,309734
308,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,215044
309,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,70796
310,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,871,104867
311,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,247787
312,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,252212
313,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,203539
314,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,154867
315,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,469026
316,terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,338053
317,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,228318
318,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,201769
320,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,914,198451
321,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1092,414159
